CRIM,INDUS,CHAS,NOX,RM,AGE,TAX,PTRATIO,MEDV
0.10328,5.13,0,0.453,5,47.2,284,19.7,19.6
0.14932,5.13,0,0.453,5,66.2,284,19.7,18.7
0.17171,5.13,0,0.453,5,93.4,284,19.7,16.0
0.11027,5.13,0,0.453,6,67.8,284,19.7,22.2
0.1265,5.13,0,0.453,6,43.4,284,19.7,25.0
0.01951,1.38,0,0.4161,7,59.5,216,18.6,33.0
0.03584,3.37,0,0.398,6,17.8,337,16.1,23.5
0.04379,3.37,0,0.398,5,31.1,337,16.1,19.4
0.05789,6.07,0,0.409,5,21.4,345,18.9,22.0
0.13554,6.07,0,0.409,5,36.8,345,18.9,17.4
0.12816,6.07,0,0.409,5,33.0,345,18.9,20.9
0.08826,10.81,0,0.413,6,6.6,305,19.2,24.2
0.15876,10.81,0,0.413,5,17.5,305,19.2,21.7
0.09164,10.81,0,0.413,6,7.8,305,19.2,22.8
0.19539,10.81,0,0.413,6,6.2,305,19.2,23.4
0.07896,12.83,0,0.437,6,6.0,398,18.7,24.1
0.09512,12.83,0,0.437,6,45.0,398,18.7,21.4
0.10153,12.83,0,0.437,6,74.5,398,18.7,20.0
0.08707,12.83,0,0.437,6,45.8,398,18.7,20.8
0.05646,12.83,0,0.437,6,53.7,398,18.7,21.2
0.08387,12.83,0,0.437,5,36.6,398,18.7,20.3
0.04113,4.86,0,0.426,6,33.5,281,19.0,28.0
0.04462,4.86,0,0.426,6,70.4,281,19.0,23.9
0.03659,4.86,0,0.426,6,32.2,281,19.0,24.8
0.03551,4.86,0,0.426,6,46.7,281,19.0,22.9
0.05059,4.49,0,0.449,6,48.0,247,18.5,23.9
0.05735,4.49,0,0.449,6,56.1,247,18.5,26.6
0.05188,4.49,0,0.449,6,45.1,247,18.5,22.5
0.07151,4.49,0,0.449,6,56.8,247,18.5,22.2
0.0566,3.41,0,0.489,7,86.3,270,17.8,23.6
0.05302,3.41,0,0.489,7,63.1,270,17.8,28.7
0.04684,3.41,0,0.489,6,66.1,270,17.8,22.6
0.03932,3.41,0,0.489,6,73.9,270,17.8,22.0
0.04203,15.04,0,0.464,6,53.6,270,18.2,22.9
0.02875,15.04,0,0.464,6,28.9,270,18.2,25.0
0.04294,15.04,0,0.464,6,77.3,270,18.2,20.6
0.12204,2.89,0,0.445,6,57.8,276,18.0,28.4
0.11504,2.89,0,0.445,6,69.6,276,18.0,21.4
0.12083,2.89,0,0.445,8,76.0,276,18.0,38.7
0.08187,2.89,0,0.445,7,36.9,276,18.0,43.8
0.0686,2.89,0,0.445,7,62.5,276,18.0,33.2
0.14866,8.56,0,0.52,6,79.9,384,20.9,27.5
0.11432,8.56,0,0.52,6,71.3,384,20.9,26.5
0.22876,8.56,0,0.52,6,85.4,384,20.9,18.6
0.21161,8.56,0,0.52,6,87.4,384,20.9,19.3
0.1396,8.56,0,0.52,6,90.0,384,20.9,20.1
0.13262,8.56,0,0.52,5,96.7,384,20.9,19.5
0.1712,8.56,0,0.52,5,91.9,384,20.9,19.5
0.13117,8.56,0,0.52,6,85.2,384,20.9,20.4
0.12802,8.56,0,0.52,6,97.1,384,20.9,19.8
0.26363,8.56,0,0.52,6,91.2,384,20.9,19.4
0.10793,8.56,0,0.52,6,54.4,384,20.9,21.7
0.10084,10.01,0,0.547,6,81.6,432,17.8,22.8
0.12329,10.01,0,0.547,5,92.9,432,17.8,18.8
0.22212,10.01,0,0.547,6,95.4,432,17.8,18.7
0.14231,10.01,0,0.547,6,84.2,432,17.8,18.5
0.17134,10.01,0,0.547,5,88.2,432,17.8,18.3
0.13158,10.01,0,0.547,6,72.5,432,17.8,21.2
0.15098,10.01,0,0.547,6,82.6,432,17.8,19.2
0.13058,10.01,0,0.547,5,73.1,432,17.8,20.4
0.14476,10.01,0,0.547,5,65.2,432,17.8,19.3
0.06899,25.65,0,0.581,5,69.7,188,19.1,22.0
0.07165,25.65,0,0.581,6,84.1,188,19.1,20.3
0.09299,25.65,0,0.581,5,92.9,188,19.1,20.5
0.15038,25.65,0,0.581,5,97.0,188,19.1,17.3
0.09849,25.65,0,0.581,5,95.8,188,19.1,18.8
0.16902,25.65,0,0.581,5,88.4,188,19.1,21.4
0.38735,25.65,0,0.581,5,95.6,188,19.1,15.7
0.25915,21.89,0,0.624,5,96.0,437,21.2,16.2
0.32543,21.89,0,0.624,6,98.8,437,21.2,18.0
0.88125,21.89,0,0.624,5,94.7,437,21.2,14.3
0.34006,21.89,0,0.624,6,98.9,437,21.2,19.2
1.19294,21.89,0,0.624,6,97.7,437,21.2,19.6
0.59005,21.89,0,0.624,6,97.9,437,21.2,23.0
0.32982,21.89,0,0.624,5,95.4,437,21.2,18.4
0.97617,21.89,0,0.624,5,98.4,437,21.2,15.6
0.55778,21.89,0,0.624,6,98.2,437,21.2,18.1
0.32264,21.89,0,0.624,5,93.5,437,21.2,17.4
0.35233,21.89,0,0.624,6,98.4,437,21.2,17.1
0.2498,21.89,0,0.624,5,98.2,437,21.2,13.3
0.54452,21.89,0,0.624,6,97.9,437,21.2,17.8
0.2909,21.89,0,0.624,6,93.6,437,21.2,14.0
1.62864,21.89,0,0.624,5,100.0,437,21.2,14.4
3.32105,19.58,1,0.871,5,100.0,403,14.7,13.4
4.0974,19.58,0,0.871,5,100.0,403,14.7,15.6
2.77974,19.58,0,0.871,4,97.8,403,14.7,11.8
2.37934,19.58,0,0.871,6,100.0,403,14.7,13.8
2.15505,19.58,0,0.871,5,100.0,403,14.7,15.6
2.36862,19.58,0,0.871,4,95.7,403,14.7,14.6
2.33099,19.58,0,0.871,5,93.8,403,14.7,17.8
2.73397,19.58,0,0.871,5,94.9,403,14.7,15.4
1.6566,19.58,0,0.871,6,97.3,403,14.7,21.5
1.49632,19.58,0,0.871,5,100.0,403,14.7,19.6
1.12658,19.58,1,0.871,5,88.0,403,14.7,15.3
2.14918,19.58,0,0.871,5,98.5,403,14.7,19.4
1.41385,19.58,1,0.871,6,96.0,403,14.7,17.0
3.53501,19.58,1,0.871,6,82.6,403,14.7,15.6
2.44668,19.58,0,0.871,5,94.0,403,14.7,13.1
1.22358,19.58,0,0.605,6,97.4,403,14.7,41.3
1.34284,19.58,0,0.605,6,100.0,403,14.7,24.3
1.42502,19.58,0,0.871,6,100.0,403,14.7,23.3
1.27346,19.58,1,0.605,6,92.6,403,14.7,27.0
2.24236,19.58,0,0.605,5,91.8,403,14.7,22.7
2.924,19.58,0,0.605,6,93.0,403,14.7,25.0
1.80028,19.58,0,0.605,5,79.2,403,14.7,23.8
2.3004,19.58,0,0.605,6,96.1,403,14.7,23.8
2.44953,19.58,0,0.605,6,95.2,403,14.7,22.3
1.20742,19.58,0,0.605,5,94.6,403,14.7,17.4
2.3139,19.58,0,0.605,5,97.3,403,14.7,19.1
0.13914,4.05,0,0.51,5,88.5,296,16.6,23.1
0.09178,4.05,0,0.51,6,84.1,296,16.6,23.6
0.08447,4.05,0,0.51,5,68.7,296,16.6,22.6
0.06664,4.05,0,0.51,6,33.1,296,16.6,29.4
0.07022,4.05,0,0.51,6,47.2,296,16.6,23.2
0.05425,4.05,0,0.51,6,73.4,296,16.6,24.6
0.06642,4.05,0,0.51,6,74.4,296,16.6,29.9
0.0578,2.46,0,0.488,6,58.4,193,17.8,37.2
0.06588,2.46,0,0.488,7,83.3,193,17.8,39.8
0.06888,2.46,0,0.488,6,62.2,193,17.8,36.2
0.09103,2.46,0,0.488,7,92.2,193,17.8,37.9
0.10008,2.46,0,0.488,6,95.6,193,17.8,32.5
0.08308,2.46,0,0.488,5,89.8,193,17.8,26.4
0.06047,2.46,0,0.488,6,68.8,193,17.8,29.6
0.07875,3.44,0,0.437,6,41.1,398,15.2,32.0
0.12579,3.44,0,0.437,6,29.1,398,15.2,29.8
0.0837,3.44,0,0.437,7,38.9,398,15.2,34.9
0.09068,3.44,0,0.437,6,21.5,398,15.2,33.0
0.06911,3.44,0,0.437,6,30.8,398,15.2,30.5
0.08664,3.44,0,0.437,7,26.3,398,15.2,36.4
0.02187,2.93,0,0.401,6,9.9,265,15.6,31.1
0.01439,2.93,0,0.401,6,18.8,265,15.6,29.1
0.04011,1.52,0,0.404,7,34.1,329,12.6,33.3
0.04666,1.52,0,0.404,7,36.6,329,12.6,30.3
0.03768,1.52,0,0.404,7,38.3,329,12.6,34.6
0.0315,1.47,0,0.403,6,15.3,402,17.0,34.9
0.01778,1.47,0,0.403,7,13.9,402,17.0,32.9
0.03445,2.03,0,0.415,6,38.4,348,14.7,24.1
0.02177,2.03,0,0.415,7,15.7,348,14.7,42.3
0.13642,10.59,0,0.489,5,22.3,277,18.6,22.6
0.22969,10.59,0,0.489,6,52.5,277,18.6,24.4
0.25199,10.59,0,0.489,5,72.7,277,18.6,22.5
0.13587,10.59,1,0.489,6,59.1,277,18.6,24.4
0.43571,10.59,1,0.489,5,100.0,277,18.6,20.0
0.17446,10.59,1,0.489,5,92.1,277,18.6,21.7
0.37578,10.59,1,0.489,5,88.6,277,18.6,19.3
0.21719,10.59,1,0.489,5,53.8,277,18.6,22.4
0.14052,10.59,0,0.489,6,32.3,277,18.6,28.1
0.28955,10.59,0,0.489,5,9.8,277,18.6,23.7
0.19802,10.59,0,0.489,6,42.4,277,18.6,25.0
0.0456,13.89,1,0.55,5,56.0,276,16.4,23.3
0.07013,13.89,0,0.55,6,85.1,276,16.4,28.7
0.11069,13.89,1,0.55,5,93.8,276,16.4,21.5
0.11425,13.89,1,0.55,6,92.4,276,16.4,23.0
0.35809,6.2,1,0.507,6,88.5,307,17.4,26.7
0.40771,6.2,1,0.507,6,91.3,307,17.4,21.7
0.62356,6.2,1,0.507,6,77.7,307,17.4,27.5
0.6147,6.2,0,0.507,6,80.8,307,17.4,30.1
0.31533,6.2,0,0.504,8,78.3,307,17.4,44.8
0.38214,6.2,0,0.504,8,86.5,307,17.4,37.6
0.41238,6.2,0,0.504,7,79.9,307,17.4,31.6
0.44178,6.2,0,0.504,6,21.4,307,17.4,31.5
0.537,6.2,0,0.504,5,68.1,307,17.4,24.3
0.46296,6.2,0,0.504,7,76.9,307,17.4,31.7
0.57529,6.2,0,0.507,8,73.3,307,17.4,41.7
0.44791,6.2,1,0.507,6,66.5,307,17.4,29.0
0.33045,6.2,0,0.507,6,61.5,307,17.4,24.0
0.52058,6.2,1,0.507,6,76.5,307,17.4,25.1
0.51183,6.2,0,0.507,7,71.6,307,17.4,31.5
0.08244,4.93,0,0.428,6,18.5,300,16.6,23.7
0.09252,4.93,0,0.428,6,42.2,300,16.6,23.3
0.11329,4.93,0,0.428,6,54.3,300,16.6,27.0
0.10612,4.93,0,0.428,6,65.1,300,16.6,20.1
0.1029,4.93,0,0.428,6,52.9,300,16.6,22.2
0.12757,4.93,0,0.428,6,7.8,300,16.6,23.7
0.20608,5.86,0,0.431,5,76.5,330,19.1,17.6
0.19133,5.86,0,0.431,5,70.2,330,19.1,18.5
0.33983,5.86,0,0.431,6,34.9,330,19.1,24.3
0.19657,5.86,0,0.431,6,79.2,330,19.1,20.5
0.16439,5.86,0,0.431,6,49.1,330,19.1,24.5
0.19073,5.86,0,0.431,6,17.5,330,19.1,26.2
0.1403,5.86,0,0.431,6,13.0,330,19.1,24.4
0.21409,5.86,0,0.431,6,8.9,330,19.1,24.8
0.08221,5.86,0,0.431,6,6.8,330,19.1,29.6
0.36894,5.86,0,0.431,8,8.4,330,19.1,42.8
0.04819,3.64,0,0.392,6,32.0,315,16.4,21.9
0.03548,3.64,0,0.392,5,19.1,315,16.4,20.9
0.01538,3.75,0,0.394,7,34.2,244,15.9,44.0
0.66351,3.97,0,0.647,7,100.0,264,13.0,36.0
0.65665,3.97,0,0.647,6,100.0,264,13.0,30.1
0.54011,3.97,0,0.647,7,81.8,264,13.0,33.8
0.53412,3.97,0,0.647,7,89.4,264,13.0,43.1
0.82526,3.97,0,0.647,7,94.5,264,13.0,31.0
0.55007,3.97,0,0.647,7,91.6,264,13.0,36.5
0.76162,3.97,0,0.647,5,62.8,264,13.0,22.8
0.7857,3.97,0,0.647,7,84.6,264,13.0,30.7
0.5405,3.97,0,0.575,7,52.6,264,13.0,43.5
0.09065,6.96,1,0.464,5,61.5,223,18.6,20.7
0.29916,6.96,0,0.464,5,42.1,223,18.6,21.1
0.16211,6.96,0,0.464,6,16.3,223,18.6,25.2
0.1146,6.96,0,0.464,6,58.7,223,18.6,24.4
0.22188,6.96,1,0.464,7,51.8,223,18.6,35.2
0.05644,6.41,1,0.447,6,32.9,254,17.6,32.4
0.09604,6.41,0,0.447,6,42.8,254,17.6,32.0
0.10469,6.41,1,0.447,7,49.0,254,17.6,33.2
0.06127,6.41,1,0.447,6,27.6,254,17.6,33.1
0.07978,6.41,0,0.447,6,32.1,254,17.6,29.1
0.21038,3.33,0,0.4429,6,32.2,216,14.9,35.1
0.03578,3.33,0,0.4429,7,64.5,216,14.9,45.4
0.03705,3.33,0,0.4429,6,37.2,216,14.9,35.4
0.06129,3.33,1,0.4429,7,49.7,216,14.9,46.0
0.00906,2.97,0,0.4,7,20.8,285,15.3,32.2
0.01096,2.25,0,0.389,6,31.9,300,15.3,22.0
0.01965,1.76,0,0.385,6,31.5,241,18.2,20.1
0.03871,5.32,0,0.405,6,31.3,293,16.6,23.2
0.0459,5.32,0,0.405,6,45.6,293,16.6,22.3
0.04297,5.32,0,0.405,6,22.9,293,16.6,24.8
0.03502,4.95,0,0.411,6,27.9,245,19.2,28.5
0.07886,4.95,0,0.411,7,27.7,245,19.2,37.3
0.03615,4.95,0,0.411,6,23.4,245,19.2,27.9
0.08265,13.92,0,0.437,6,18.4,289,16.0,23.9
0.08199,13.92,0,0.437,6,42.3,289,16.0,21.7
0.12932,13.92,0,0.437,6,31.1,289,16.0,28.6
0.05372,13.92,0,0.437,6,51.0,289,16.0,27.1
0.14103,13.92,0,0.437,5,58.0,289,16.0,20.3
0.06466,2.24,0,0.4,6,20.1,358,14.8,22.5
0.05561,2.24,0,0.4,7,10.0,358,14.8,29.0
0.04417,2.24,0,0.4,6,47.4,358,14.8,24.8
0.03537,6.09,0,0.433,6,40.4,329,16.1,22.0
0.09266,6.09,0,0.433,6,18.4,329,16.1,26.4
0.1,6.09,0,0.433,6,17.7,329,16.1,33.1
0.05515,2.18,0,0.472,7,41.1,222,18.4,36.1
0.05479,2.18,0,0.472,6,58.1,222,18.4,28.4
0.07503,2.18,0,0.472,7,71.9,222,18.4,33.4
0.04932,2.18,0,0.472,6,70.3,222,18.4,28.2
0.49298,9.9,0,0.544,6,82.5,304,18.4,22.8
0.3494,9.9,0,0.544,5,76.7,304,18.4,20.3
2.63548,9.9,0,0.544,4,37.8,304,18.4,16.1
0.79041,9.9,0,0.544,6,52.8,304,18.4,22.1
0.26169,9.9,0,0.544,6,90.4,304,18.4,19.4
0.26938,9.9,0,0.544,6,82.8,304,18.4,21.6
0.3692,9.9,0,0.544,6,87.3,304,18.4,23.8
0.25356,9.9,0,0.544,5,77.7,304,18.4,16.2
0.31827,9.9,0,0.544,5,83.2,304,18.4,17.8
0.24522,9.9,0,0.544,5,71.7,304,18.4,19.8
0.40202,9.9,0,0.544,6,67.2,304,18.4,23.1
0.47547,9.9,0,0.544,6,58.8,304,18.4,21.0
0.1676,7.38,0,0.493,6,52.3,287,19.6,23.8
0.18159,7.38,0,0.493,6,54.3,287,19.6,23.1
0.35114,7.38,0,0.493,6,49.9,287,19.6,20.4
0.28392,7.38,0,0.493,5,74.3,287,19.6,18.5
0.34109,7.38,0,0.493,6,40.1,287,19.6,25.0
0.19186,7.38,0,0.493,6,14.7,287,19.6,24.6
0.30347,7.38,0,0.493,6,28.9,287,19.6,23.0
0.24103,7.38,0,0.493,6,43.7,287,19.6,22.2
0.06617,3.24,0,0.46,5,25.8,430,16.9,19.3
0.06724,3.24,0,0.46,6,17.2,430,16.9,22.6
0.04544,3.24,0,0.46,6,32.2,430,16.9,19.8
0.05023,6.06,0,0.4379,5,28.4,304,16.9,17.1
0.03466,6.06,0,0.4379,6,23.3,304,16.9,19.4
0.05083,5.19,0,0.515,6,38.1,224,20.2,22.2
0.03738,5.19,0,0.515,6,38.5,224,20.2,20.7
0.03961,5.19,0,0.515,6,34.5,224,20.2,21.1
0.03427,5.19,0,0.515,5,46.3,224,20.2,19.5
0.03041,5.19,0,0.515,5,59.6,224,20.2,18.5
0.03306,5.19,0,0.515,6,37.3,224,20.2,20.6
0.05497,5.19,0,0.515,5,45.4,224,20.2,19.0
0.06151,5.19,0,0.515,5,58.5,224,20.2,18.7
0.01301,1.52,0,0.442,7,49.3,284,15.5,32.7
0.02498,1.89,0,0.518,6,59.7,422,15.9,16.5
0.02543,3.78,0,0.484,6,56.4,370,17.6,23.9
0.03049,3.78,0,0.484,6,28.1,370,17.6,31.2
0.03113,4.39,0,0.442,6,48.5,352,18.8,17.5
0.06162,4.39,0,0.442,5,52.3,352,18.8,17.2
0.0187,4.15,0,0.429,6,27.7,351,17.9,23.1
0.01501,2.01,0,0.435,6,29.7,280,17.0,24.5
0.02899,1.25,0,0.429,6,34.5,335,19.7,26.6
0.06211,1.25,0,0.429,6,44.4,335,19.7,22.9
0.0795,1.69,0,0.411,6,35.9,411,18.3,24.1
0.07244,1.69,0,0.411,5,18.5,411,18.3,18.6
0.01709,2.02,0,0.41,6,36.1,187,17.0,30.1
0.04301,1.91,0,0.413,5,21.9,334,22.0,18.2
0.10659,1.91,0,0.413,5,19.5,334,22.0,20.6
8.98296,18.1,1,0.77,6,97.4,666,20.2,17.8
3.8497,18.1,1,0.77,6,91.0,666,20.2,21.7
5.20177,18.1,1,0.77,6,83.4,666,20.2,22.7
4.26131,18.1,0,0.77,6,81.3,666,20.2,22.6
4.54192,18.1,0,0.77,6,88.0,666,20.2,25.0
3.83684,18.1,0,0.77,6,91.1,666,20.2,19.9
3.67822,18.1,0,0.77,5,96.2,666,20.2,20.8
4.22239,18.1,1,0.77,5,89.0,666,20.2,16.8
3.47428,18.1,1,0.718,8,82.9,666,20.2,21.9
4.55587,18.1,0,0.718,3,87.9,666,20.2,27.5
3.69695,18.1,0,0.718,4,91.4,666,20.2,21.9
13.5222,18.1,0,0.631,3,100.0,666,20.2,23.1
11.1081,18.1,0,0.668,4,100.0,666,20.2,13.8
18.4982,18.1,0,0.668,4,100.0,666,20.2,13.8
19.6091,18.1,0,0.671,7,97.9,666,20.2,15.0
15.288,18.1,0,0.671,6,93.3,666,20.2,13.9
9.82349,18.1,0,0.671,6,98.8,666,20.2,13.3
23.6482,18.1,0,0.671,6,96.2,666,20.2,13.1
17.8667,18.1,0,0.671,6,100.0,666,20.2,10.2
88.9762,18.1,0,0.671,6,91.9,666,20.2,10.4
15.8744,18.1,0,0.671,6,99.1,666,20.2,10.9
9.18702,18.1,0,0.7,5,100.0,666,20.2,11.3
7.99248,18.1,0,0.7,5,100.0,666,20.2,12.3
20.0849,18.1,0,0.7,4,91.2,666,20.2,8.8
16.8118,18.1,0,0.7,5,98.1,666,20.2,7.2
24.3938,18.1,0,0.7,4,100.0,666,20.2,10.5
22.5971,18.1,0,0.7,5,89.5,666,20.2,7.4
14.3337,18.1,0,0.7,4,100.0,666,20.2,10.2
8.15174,18.1,0,0.7,5,98.9,666,20.2,11.5
6.96215,18.1,0,0.7,5,97.0,666,20.2,15.1
5.29305,18.1,0,0.7,6,82.5,666,20.2,23.2
11.5779,18.1,0,0.7,5,97.0,666,20.2,9.7
8.64476,18.1,0,0.693,6,92.6,666,20.2,13.8
13.3598,18.1,0,0.693,5,94.7,666,20.2,12.7
8.71675,18.1,0,0.693,6,98.8,666,20.2,13.1
5.87205,18.1,0,0.693,6,96.0,666,20.2,12.5
7.67202,18.1,0,0.693,5,98.9,666,20.2,8.5
38.3518,18.1,0,0.693,5,100.0,666,20.2,5.0
9.91655,18.1,0,0.693,5,77.8,666,20.2,6.3
25.0461,18.1,0,0.693,5,100.0,666,20.2,5.6
14.2362,18.1,0,0.693,6,100.0,666,20.2,7.2
9.59571,18.1,0,0.693,6,100.0,666,20.2,12.1
24.8017,18.1,0,0.693,5,96.0,666,20.2,8.3
41.5292,18.1,0,0.693,5,85.4,666,20.2,8.5
67.9208,18.1,0,0.693,5,100.0,666,20.2,5.0
20.7162,18.1,0,0.659,4,100.0,666,20.2,11.9
11.9511,18.1,0,0.659,5,100.0,666,20.2,27.9
7.40389,18.1,0,0.597,5,97.9,666,20.2,17.2
14.4383,18.1,0,0.597,6,100.0,666,20.2,27.5
51.1358,18.1,0,0.597,5,100.0,666,20.2,15.0
14.0507,18.1,0,0.597,6,100.0,666,20.2,17.2
18.811,18.1,0,0.597,4,100.0,666,20.2,17.9
28.6558,18.1,0,0.597,5,100.0,666,20.2,16.3
45.7461,18.1,0,0.693,4,100.0,666,20.2,7.0
18.0846,18.1,0,0.679,6,100.0,666,20.2,7.2
10.8342,18.1,0,0.679,6,90.8,666,20.2,7.5
25.9406,18.1,0,0.679,5,89.1,666,20.2,10.4
73.5341,18.1,0,0.679,5,100.0,666,20.2,8.8
11.8123,18.1,0,0.718,6,76.5,666,20.2,8.4
11.0874,18.1,0,0.718,6,100.0,666,20.2,16.7
7.02259,18.1,0,0.718,6,95.3,666,20.2,14.2
12.0482,18.1,0,0.614,5,87.6,666,20.2,20.8
7.05042,18.1,0,0.614,6,85.1,666,20.2,13.4
8.79212,18.1,0,0.584,5,70.6,666,20.2,11.7
15.8603,18.1,0,0.679,5,95.4,666,20.2,8.3
12.2472,18.1,0,0.584,5,59.7,666,20.2,10.2
37.6619,18.1,0,0.679,6,78.7,666,20.2,10.9
7.36711,18.1,0,0.679,6,78.1,666,20.2,11.0
9.33889,18.1,0,0.679,6,95.6,666,20.2,9.5
8.49213,18.1,0,0.584,6,86.1,666,20.2,14.5
10.0623,18.1,0,0.584,6,94.3,666,20.2,14.1
6.44405,18.1,0,0.584,6,74.8,666,20.2,16.1
5.58107,18.1,0,0.713,6,87.9,666,20.2,14.3
13.9134,18.1,0,0.713,6,95.0,666,20.2,11.7
11.1604,18.1,0,0.74,6,94.6,666,20.2,13.4
14.4208,18.1,0,0.74,6,93.3,666,20.2,9.6
15.1772,18.1,0,0.74,6,100.0,666,20.2,8.2
13.6781,18.1,0,0.74,5,87.9,666,20.2,8.4
9.39063,18.1,0,0.74,5,93.9,666,20.2,12.8
22.0511,18.1,0,0.74,5,92.4,666,20.2,10.5
9.72418,18.1,0,0.74,6,97.2,666,20.2,17.1
5.66637,18.1,0,0.74,6,100.0,666,20.2,14.8
9.96654,18.1,0,0.74,6,100.0,666,20.2,15.4
12.8023,18.1,0,0.74,5,96.6,666,20.2,10.8
10.6718,18.1,0,0.74,6,94.8,666,20.2,11.8
6.28807,18.1,0,0.74,6,96.4,666,20.2,14.9
9.92485,18.1,0,0.74,6,96.6,666,20.2,12.6
9.32909,18.1,0,0.713,6,98.7,666,20.2,14.1
7.52601,18.1,0,0.713,6,98.3,666,20.2,13.0
6.71772,18.1,0,0.713,6,92.6,666,20.2,13.4
5.44114,18.1,0,0.713,6,98.2,666,20.2,15.2
5.09017,18.1,0,0.713,6,91.8,666,20.2,16.1
8.24809,18.1,0,0.713,7,99.3,666,20.2,17.8
9.51363,18.1,0,0.713,6,94.1,666,20.2,14.4
4.75237,18.1,0,0.713,6,86.5,666,20.2,14.1
4.66883,18.1,0,0.713,5,87.9,666,20.2,12.7
8.20058,18.1,0,0.713,5,80.3,666,20.2,13.5
7.75223,18.1,0,0.713,6,83.7,666,20.2,14.9
6.80117,18.1,0,0.713,6,84.4,666,20.2,20.0
4.81213,18.1,0,0.713,6,90.0,666,20.2,16.4
3.69311,18.1,0,0.713,6,88.4,666,20.2,17.7
6.65492,18.1,0,0.713,6,83.0,666,20.2,19.5
5.82115,18.1,0,0.713,6,89.9,666,20.2,20.2
7.83932,18.1,0,0.655,6,65.4,666,20.2,21.4
3.1636,18.1,0,0.655,5,48.2,666,20.2,19.9
3.77498,18.1,0,0.655,5,84.7,666,20.2,19.0
4.42228,18.1,0,0.584,6,94.5,666,20.2,19.1
